subjID,Condition,MD,Dom,Load,Rate
71010,lo.emo.sur_n_MAD,0.132446772,1,0,1
71011,lo.emo.sur_n_MAD,0.022320119,1,0,1
71012,lo.emo.sur_n_MAD,0.349601178,1,0,1
71013,lo.emo.sur_n_MAD,0.442694755,1,0,1
71014,lo.emo.sur_n_MAD,0.272201071,1,0,1
71015,lo.emo.sur_n_MAD,0.513071517,1,0,1
71016,lo.emo.sur_n_MAD,0.117793778,1,0,1
71018,lo.emo.sur_n_MAD,-0.08245872,1,0,1
71019,lo.emo.sur_n_MAD,-0.042963398,1,0,1
71020,lo.emo.sur_n_MAD,0.88476865,1,0,1
71021,lo.emo.sur_n_MAD,0.250866858,1,0,1
71023,lo.emo.sur_n_MAD,-0.164581741,1,0,1
71024,lo.emo.sur_n_MAD,0.530868803,1,0,1
71025,lo.emo.sur_n_MAD,0.363768984,1,0,1
71026,lo.emo.sur_n_MAD,0.334807505,1,0,1
71028,lo.emo.sur_n_MAD,0.341376778,1,0,1
71029,lo.emo.sur_n_MAD,0.038785613,1,0,1
71030,lo.emo.sur_n_MAD,0.380929646,1,0,1
71032,lo.emo.sur_n_MAD,0.19941072,1,0,1
71033,lo.emo.sur_n_MAD,0.265582918,1,0,1
71034,lo.emo.sur_n_MAD,0.270089789,1,0,1
71035,lo.emo.sur_n_MAD,0.187025501,1,0,1
71036,lo.emo.sur_n_MAD,0.274233764,1,0,1
71037,lo.emo.sur_n_MAD,0.462972308,1,0,1
71038,lo.emo.sur_n_MAD,-0.046545084,1,0,1
71039,lo.emo.sur_n_MAD,1.057056497,1,0,1
71040,lo.emo.sur_n_MAD,1.097491046,1,0,1
71041,lo.emo.sur_n_MAD,0.235960612,1,0,1
71042,lo.emo.sur_n_MAD,0.18492227,1,0,1
71043,lo.emo.sur_n_MAD,0.12699413,1,0,1
71044,lo.emo.sur_n_MAD,0.009174589,1,0,1
71046,lo.emo.sur_n_MAD,0.328729058,1,0,1
71047,lo.emo.sur_n_MAD,0.278604704,1,0,1
71049,lo.emo.sur_n_MAD,0.296467052,1,0,1
71050,lo.emo.sur_n_MAD,-0.005800322,1,0,1
71052,lo.emo.sur_n_MAD,0.303178685,1,0,1
71053,lo.emo.sur_n_MAD,0.172315587,1,0,1
71054,lo.emo.sur_n_MAD,0.611503753,1,0,1
71055,lo.emo.sur_n_MAD,0.067382519,1,0,1
71056,lo.emo.sur_n_MAD,0.236700617,1,0,1
71058,lo.emo.sur_n_MAD,0.629838926,1,0,1
71059,lo.emo.sur_n_MAD,0.075577335,1,0,1
71060,lo.emo.sur_n_MAD,-0.117360143,1,0,1
71062,lo.emo.sur_n_MAD,0.821968716,1,0,1
71001,hi.emo.sur_p_MAD,,1,1,0
71002,hi.emo.sur_p_MAD,,1,1,0
71003,hi.emo.sur_p_MAD,0.817611108,1,1,0
71005,hi.emo.sur_p_MAD,,1,1,0
71007,hi.emo.sur_p_MAD,0.673681478,1,1,0
71009,hi.emo.sur_p_MAD,0.120555352,1,1,0
71010,hi.emo.sur_p_MAD,0.630689627,1,1,0
71011,hi.emo.sur_p_MAD,,1,1,0
71012,hi.emo.sur_p_MAD,-0.107333737,1,1,0
71013,hi.emo.sur_p_MAD,1.395505281,1,1,0
71014,hi.emo.sur_p_MAD,,1,1,0
71015,hi.emo.sur_p_MAD,,1,1,0
71016,hi.emo.sur_p_MAD,0.818982603,1,1,0
71018,hi.emo.sur_p_MAD,0.38577822,1,1,0
71019,hi.emo.sur_p_MAD,,1,1,0
71020,hi.emo.sur_p_MAD,0.75914489,1,1,0
71021,hi.emo.sur_p_MAD,,1,1,0
71023,hi.emo.sur_p_MAD,,1,1,0
71024,hi.emo.sur_p_MAD,,1,1,0
71025,hi.emo.sur_p_MAD,,1,1,0
71026,hi.emo.sur_p_MAD,0.776273897,1,1,0
71028,hi.emo.sur_p_MAD,0.222742273,1,1,0
71029,hi.emo.sur_p_MAD,,1,1,0
71030,hi.emo.sur_p_MAD,0.509243881,1,1,0
71032,hi.emo.sur_p_MAD,0.170196579,1,1,0
71033,hi.emo.sur_p_MAD,,1,1,0
71034,hi.emo.sur_p_MAD,1.090759447,1,1,0
71035,hi.emo.sur_p_MAD,,1,1,0
71036,hi.emo.sur_p_MAD,0.66004544,1,1,0
